"GEO_ID","NAME","B08101_001E","B08101_001M","B08101_002E","B08101_002M","B08101_003E","B08101_003M","B08101_004E","B08101_004M","B08101_005E","B08101_005M","B08101_006E","B08101_006M","B08101_007E","B08101_007M","B08101_008E","B08101_008M","B08101_009E","B08101_009M","B08101_010E","B08101_010M","B08101_011E","B08101_011M","B08101_012E","B08101_012M","B08101_013E","B08101_013M","B08101_014E","B08101_014M","B08101_015E","B08101_015M","B08101_016E","B08101_016M","B08101_017E","B08101_017M","B08101_018E","B08101_018M","B08101_019E","B08101_019M","B08101_020E","B08101_020M","B08101_021E","B08101_021M","B08101_022E","B08101_022M","B08101_023E","B08101_023M","B08101_024E","B08101_024M","B08101_025E","B08101_025M","B08101_026E","B08101_026M","B08101_027E","B08101_027M","B08101_028E","B08101_028M","B08101_029E","B08101_029M","B08101_030E","B08101_030M","B08101_031E","B08101_031M","B08101_032E","B08101_032M","B08101_033E","B08101_033M","B08101_034E","B08101_034M","B08101_035E","B08101_035M","B08101_036E","B08101_036M","B08101_037E","B08101_037M","B08101_038E","B08101_038M","B08101_039E","B08101_039M","B08101_040E","B08101_040M","B08101_041E","B08101_041M","B08101_042E","B08101_042M","B08101_043E","B08101_043M","B08101_044E","B08101_044M","B08101_045E","B08101_045M","B08101_046E","B08101_046M","B08101_047E","B08101_047M","B08101_048E","B08101_048M","B08101_049E","B08101_049M","B08101_050E","B08101_050M","B08101_051E","B08101_051M","B08101_052E","B08101_052M","B08101_053E","B08101_053M","B08101_054E","B08101_054M","B08101_055E","B08101_055M","B08101_056E","B08101_056M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!16 to 19 years","Margin of Error!!Total:!!16 to 19 years","Estimate!!Total:!!20 to 24 years","Margin of Error!!Total:!!20 to 24 years","Estimate!!Total:!!25 to 44 years","Margin of Error!!Total:!!25 to 44 years","Estimate!!Total:!!45 to 54 years","Margin of Error!!Total:!!45 to 54 years","Estimate!!Total:!!55 to 59 years","Margin of Error!!Total:!!55 to 59 years","Estimate!!Total:!!60 to 64 years","Margin of Error!!Total:!!60 to 64 years","Estimate!!Total:!!65 years and over","Margin of Error!!Total:!!65 years and over","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!16 to 19 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!16 to 19 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!20 to 24 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!20 to 24 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!25 to 44 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!25 to 44 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!45 to 54 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!45 to 54 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!55 to 59 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!55 to 59 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!60 to 64 years","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!60 to 64 years","Estimate!!Total:!!Car, truck, or van - drove alone:!!65 years and over","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!65 years and over","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!16 to 19 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!16 to 19 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!20 to 24 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!20 to 24 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!25 to 44 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!25 to 44 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!45 to 54 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!45 to 54 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!55 to 59 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!55 to 59 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!60 to 64 years","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!60 to 64 years","Estimate!!Total:!!Car, truck, or van - carpooled:!!65 years and over","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!65 years and over","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!16 to 19 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!16 to 19 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!20 to 24 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!20 to 24 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!25 to 44 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!25 to 44 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!45 to 54 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!45 to 54 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!55 to 59 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!55 to 59 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!60 to 64 years","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!60 to 64 years","Estimate!!Total:!!Public transportation (excluding taxicab):!!65 years and over","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!65 years and over","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!16 to 19 years","Margin of Error!!Total:!!Walked:!!16 to 19 years","Estimate!!Total:!!Walked:!!20 to 24 years","Margin of Error!!Total:!!Walked:!!20 to 24 years","Estimate!!Total:!!Walked:!!25 to 44 years","Margin of Error!!Total:!!Walked:!!25 to 44 years","Estimate!!Total:!!Walked:!!45 to 54 years","Margin of Error!!Total:!!Walked:!!45 to 54 years","Estimate!!Total:!!Walked:!!55 to 59 years","Margin of Error!!Total:!!Walked:!!55 to 59 years","Estimate!!Total:!!Walked:!!60 to 64 years","Margin of Error!!Total:!!Walked:!!60 to 64 years","Estimate!!Total:!!Walked:!!65 years and over","Margin of Error!!Total:!!Walked:!!65 years and over","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!16 to 19 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!16 to 19 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!20 to 24 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!25 to 44 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!25 to 44 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!45 to 54 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!45 to 54 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!55 to 59 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!55 to 59 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 to 64 years","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!60 to 64 years","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!65 years and over","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!65 years and over","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","Estimate!!Total:!!Worked from home!!16 to 19 years","Margin of Error!!Total:!!Worked from home!!16 to 19 years","Estimate!!Total:!!Worked from home!!20 to 24 years","Margin of Error!!Total:!!Worked from home!!20 to 24 years","Estimate!!Total:!!Worked from home!!25 to 44 years","Margin of Error!!Total:!!Worked from home!!25 to 44 years","Estimate!!Total:!!Worked from home!!45 to 54 years","Margin of Error!!Total:!!Worked from home!!45 to 54 years","Estimate!!Total:!!Worked from home!!55 to 59 years","Margin of Error!!Total:!!Worked from home!!55 to 59 years","Estimate!!Total:!!Worked from home!!60 to 64 years","Margin of Error!!Total:!!Worked from home!!60 to 64 years","Estimate!!Total:!!Worked from home!!65 years and over","Margin of Error!!Total:!!Worked from home!!65 years and over",
"1400000US39049000110","Census Tract 1.10; Franklin County; Ohio","2245","304","0","13","41","25","1019","159","485","145","227","80","138","49","335","230","1551","197","0","13","23","19","701","138","339","119","209","78","105","46","174","57","56","38","0","13","12","14","0","13","27","24","0","13","14","22","3","7","9","15","0","13","0","13","0","13","0","13","0","13","9","15","0","13","9","13","0","13","0","13","9","13","0","13","0","13","0","13","0","13","157","225","0","13","0","13","6","10","0","13","0","13","0","13","151","225","463","148","0","13","6","10","303","105","119","105","18","22","10","13","7","11",
"1400000US39049000120","Census Tract 1.20; Franklin County; Ohio","1963","248","25","21","13","21","804","150","591","175","135","61","167","70","228","105","1114","183","25","21","13","21","489","159","258","84","101","54","133","59","95","46","43","34","0","13","0","13","10","17","14","19","0","13","0","13","19","20","36","36","0","13","0","13","28","34","8","13","0","13","0","13","0","13","20","17","0","13","0","13","19","17","0","13","1","2","0","13","0","13","16","17","0","13","0","13","8","12","8","13","0","13","0","13","0","13","734","199","0","13","0","13","250","87","303","159","33","20","34","25","114","92",
"1400000US39049000210","Census Tract 2.10; Franklin County; Ohio","1949","288","36","39","45","49","909","167","433","240","232","76","153","63","141","65","978","166","23","24","21","28","435","129","140","65","150","74","108","50","101","65","124","125","0","13","0","13","34","30","90","119","0","13","0","13","0","13","130","108","0","13","0","13","72","102","38","43","7","11","0","13","13","19","52","42","13","19","0","13","39","39","0","13","0","13","0","13","0","13","52","42","0","13","0","13","9","14","0","13","22","25","21","32","0","13","613","180","0","13","24","41","320","120","165","122","53","49","24","21","27","24",
"1400000US39049000220","Census Tract 2.20; Franklin County; Ohio","2405","213","22","27","119","76","1060","177","428","130","278","82","267","86","231","80","1530","226","0","13","49","33","682","140","341","130","119","64","141","66","198","77","153","90","13","23","42","64","70","46","11","17","6","9","10","18","1","3","39","37","0","13","10","16","29","34","0","13","0","13","0","13","0","13","31","28","0","13","0","13","23","26","0","13","0","13","8","12","0","13","76","52","9","13","0","13","46","43","11","14","7","11","3","4","0","13","576","130","0","13","18","30","210","88","65","34","146","89","105","53","32","25",
"1400000US39049000310","Census Tract 3.10; Franklin County; Ohio","1397","185","17","23","53","40","840","171","228","88","110","57","106","52","43","33","979","178","0","13","22","20","578","138","168","82","74","45","99","50","38","29","177","110","17","23","31","31","111","90","18","24","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","23","0","13","0","13","9","15","9","17","0","13","0","13","0","13","223","105","0","13","0","13","142","93","33","29","36","46","7","14","5","10",
"1400000US39049000320","Census Tract 3.20; Franklin County; Ohio","1565","439","0","13","137","152","861","335","274","98","156","159","114","70","23","24","1274","436","0","13","137","152","696","324","224","95","123","151","71","42","23","24","146","104","0","13","0","13","65","54","32","45","26","42","23","36","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","20","33","0","13","0","13","0","13","0","13","0","13","20","33","0","13","16","18","0","13","0","13","9","14","0","13","7","10","0","13","0","13","109","50","0","13","0","13","91","46","18","20","0","13","0","13","0","13",
"1400000US39049000330","Census Tract 3.30; Franklin County; Ohio","1125","260","85","83","30","29","649","183","162","85","92","69","87","53","20","20","730","211","41","44","6","15","397","132","131","75","92","69","51","43","12","14","153","131","14","20","0","13","121","123","0","13","0","13","18","29","0","13","28","39","0","13","10","20","18","32","0","13","0","13","0","13","0","13","26","31","0","13","0","13","6","9","20","29","0","13","0","13","0","13","29","32","0","13","0","13","0","13","11","16","0","13","18","28","0","13","159","131","30","45","14","23","107","92","0","13","0","13","0","13","8","14",
"1400000US39049000410","Census Tract 4.10; Franklin County; Ohio","1666","150","16","16","104","48","1171","159","187","67","100","74","56","37","32","35","1002","148","0","13","62","40","747","144","110","62","39","36","44","33","0","13","56","47","9","13","17","26","21","35","9","14","0","13","0","13","0","13","94","61","0","13","12","13","69","66","0","13","0","13","0","13","13","23","81","47","7","11","0","13","24","23","12","18","38","36","0","13","0","13","55","38","0","13","9","14","7","11","20","21","0","13","0","13","19","27","378","104","0","13","4","6","303","102","36","31","23","23","12","17","0","13",
"1400000US39049000420","Census Tract 4.20; Franklin County; Ohio","2127","416","25","28","33","28","1256","317","309","153","261","154","152","83","91","37","1377","247","11","19","33","28","737","181","235","148","142","104","140","79","79","37","78","55","0","13","0","13","28","28","36","48","0","13","8","19","6","9","16","21","14","20","0","13","2","7","0","13","0","13","0","13","0","13","7","9","0","13","0","13","7","9","0","13","0","13","0","13","0","13","52","55","0","13","0","13","45","55","3","7","0","13","4","6","0","13","597","229","0","13","0","13","437","192","35","27","119","120","0","13","6","10",
"1400000US39049000500","Census Tract 5; Franklin County; Ohio","2788","585","0","13","217","113","1974","541","192","96","33","32","185","185","187","99","1333","368","0","13","117","75","820","306","86","74","11","19","173","192","126","81","172","162","0","13","0","13","172","162","0","13","0","13","0","13","0","13","112","60","0","13","38","38","20","32","26","34","0","13","0","13","28","34","56","73","0","13","0","13","56","73","0","13","0","13","0","13","0","13","90","70","0","13","11","16","57","63","0","13","0","13","12","20","10","16","1025","332","0","13","51","64","849","320","80","60","22","25","0","13","23","26",
"1400000US39049000600","Census Tract 6; Franklin County; Ohio","3012","354","274","172","656","189","1627","275","222","107","125","93","90","58","18","17","2118","298","237","139","511","154","1104","205","141","93","58","60","49","38","18","17","46","33","0","13","0","13","46","33","0","13","0","13","0","13","0","13","124","80","0","13","20","24","67","50","0","13","37","58","0","13","0","13","119","88","37","62","5","8","62","57","3","6","0","13","12","19","0","13","25","30","0","13","0","13","9","14","0","13","16","25","0","13","0","13","580","165","0","13","120","86","339","147","78","41","14","22","29","30","0","13",
"1400000US39049000710","Census Tract 7.10; Franklin County; Ohio","1653","383","88","90","186","145","718","235","201","87","115","85","155","84","190","119","1061","261","0","13","77","60","526","212","145","72","38","42","103","79","172","112","223","118","0","13","0","13","87","80","16","28","77","72","25","38","18","26","82","65","0","13","0","13","47","57","8","13","0","13","27","40","0","13","113","102","88","90","0","13","25","41","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","174","147","0","13","109","137","33","49","32","43","0","13","0","13","0","13",
"1400000US39049000720","Census Tract 7.20; Franklin County; Ohio","997","176","50","51","75","65","527","113","277","127","16","25","18","19","34","35","641","152","0","13","33","35","350","129","224","80","0","13","0","13","34","35","112","88","50","51","0","13","9","14","53","69","0","13","0","13","0","13","64","78","0","13","0","13","64","78","0","13","0","13","0","13","0","13","38","41","0","13","0","13","22","34","0","13","16","25","0","13","0","13","25","41","0","13","0","13","25","41","0","13","0","13","0","13","0","13","117","64","0","13","42","40","57","55","0","13","0","13","18","19","0","13",
"1400000US39049000730","Census Tract 7.30; Franklin County; Ohio","1182","365","50","80","58","61","668","291","263","123","97","68","21","37","25","28","587","224","0","13","0","13","316","168","178","105","47","46","21","37","25","28","251","253","50","80","0","13","144","160","33","52","24","40","0","13","0","13","112","82","0","13","26","41","51","58","35","44","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","136","96","0","13","32","49","78","82","0","13","26","43","0","13","0","13","96","81","0","13","0","13","79","83","17","31","0","13","0","13","0","13",
"1400000US39049000810","Census Tract 8.10; Franklin County; Ohio","1195","310","40","36","89","64","650","261","209","112","124","85","30","23","53","41","927","283","9","17","73","59","512","250","173","120","114","79","8","12","38","39","74","64","21","28","0","13","38","53","0","13","0","13","8","13","7","12","23","27","10","16","5","9","8","13","0","13","0","13","0","13","0","13","10","16","0","13","0","13","0","13","0","13","10","16","0","13","0","13","37","32","0","13","11","17","9","15","17","22","0","13","0","13","0","13","124","65","0","13","0","13","83","70","19","29","0","13","14","16","8","11",
"1400000US39049000820","Census Tract 8.20; Franklin County; Ohio","2085","446","80","68","99","81","1186","285","270","118","169","84","104","72","177","154","1342","401","37","51","99","81","747","274","202","95","59","41","70","78","128","148","201","156","26","34","0","13","73","88","41","67","58","56","3","7","0","13","126","91","17","30","0","13","98","83","0","13","11","16","0","13","0","13","6","12","0","13","0","13","0","13","0","13","0","13","6","12","0","13","31","40","0","13","0","13","10","18","11","18","10","18","0","13","0","13","379","167","0","13","0","13","258","136","16","22","31","38","25","27","49","47",
