"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B08119_001E","Estimate!!Total:"
"B08119_001M","Margin of Error!!Total:"
"B08119_002E","Estimate!!Total:!!$1 to $9,999 or loss"
"B08119_002M","Margin of Error!!Total:!!$1 to $9,999 or loss"
"B08119_003E","Estimate!!Total:!!$10,000 to $14,999"
"B08119_003M","Margin of Error!!Total:!!$10,000 to $14,999"
"B08119_004E","Estimate!!Total:!!$15,000 to $24,999"
"B08119_004M","Margin of Error!!Total:!!$15,000 to $24,999"
"B08119_005E","Estimate!!Total:!!$25,000 to $34,999"
"B08119_005M","Margin of Error!!Total:!!$25,000 to $34,999"
"B08119_006E","Estimate!!Total:!!$35,000 to $49,999"
"B08119_006M","Margin of Error!!Total:!!$35,000 to $49,999"
"B08119_007E","Estimate!!Total:!!$50,000 to $64,999"
"B08119_007M","Margin of Error!!Total:!!$50,000 to $64,999"
"B08119_008E","Estimate!!Total:!!$65,000 to $74,999"
"B08119_008M","Margin of Error!!Total:!!$65,000 to $74,999"
"B08119_009E","Estimate!!Total:!!$75,000 or more"
"B08119_009M","Margin of Error!!Total:!!$75,000 or more"
"B08119_010E","Estimate!!Total:!!Car, truck, or van - drove alone:"
"B08119_010M","Margin of Error!!Total:!!Car, truck, or van - drove alone:"
"B08119_011E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$1 to $9,999 or loss"
"B08119_011M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$1 to $9,999 or loss"
"B08119_012E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$10,000 to $14,999"
"B08119_012M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$10,000 to $14,999"
"B08119_013E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$15,000 to $24,999"
"B08119_013M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$15,000 to $24,999"
"B08119_014E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$25,000 to $34,999"
"B08119_014M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$25,000 to $34,999"
"B08119_015E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$35,000 to $49,999"
"B08119_015M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$35,000 to $49,999"
"B08119_016E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$50,000 to $64,999"
"B08119_016M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$50,000 to $64,999"
"B08119_017E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$65,000 to $74,999"
"B08119_017M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$65,000 to $74,999"
"B08119_018E","Estimate!!Total:!!Car, truck, or van - drove alone:!!$75,000 or more"
"B08119_018M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$75,000 or more"
"B08119_019E","Estimate!!Total:!!Car, truck, or van - carpooled:"
"B08119_019M","Margin of Error!!Total:!!Car, truck, or van - carpooled:"
"B08119_020E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$1 to $9,999 or loss"
"B08119_020M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$1 to $9,999 or loss"
"B08119_021E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$10,000 to $14,999"
"B08119_021M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$10,000 to $14,999"
"B08119_022E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$15,000 to $24,999"
"B08119_022M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$15,000 to $24,999"
"B08119_023E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$25,000 to $34,999"
"B08119_023M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$25,000 to $34,999"
"B08119_024E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$35,000 to $49,999"
"B08119_024M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$35,000 to $49,999"
"B08119_025E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$50,000 to $64,999"
"B08119_025M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$50,000 to $64,999"
"B08119_026E","Estimate!!Total:!!Car, truck, or van - carpooled:!!$65,000 to $74,999"
