"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B08122_001E","Estimate!!Total:"
"B08122_001M","Margin of Error!!Total:"
"B08122_002E","Estimate!!Total:!!Below 100 percent of the poverty level"
"B08122_002M","Margin of Error!!Total:!!Below 100 percent of the poverty level"
"B08122_003E","Estimate!!Total:!!100 to 149 percent of the poverty level"
"B08122_003M","Margin of Error!!Total:!!100 to 149 percent of the poverty level"
"B08122_004E","Estimate!!Total:!!At or above 150 percent of the poverty level"
"B08122_004M","Margin of Error!!Total:!!At or above 150 percent of the poverty level"
"B08122_005E","Estimate!!Total:!!Car, truck, or van - drove alone:"
"B08122_005M","Margin of Error!!Total:!!Car, truck, or van - drove alone:"
"B08122_006E","Estimate!!Total:!!Car, truck, or van - drove alone:!!Below 100 percent of the poverty level"
"B08122_006M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!Below 100 percent of the poverty level"
"B08122_007E","Estimate!!Total:!!Car, truck, or van - drove alone:!!100 to 149 percent of the poverty level"
"B08122_007M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!100 to 149 percent of the poverty level"
"B08122_008E","Estimate!!Total:!!Car, truck, or van - drove alone:!!At or above 150 percent of the poverty level"
"B08122_008M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!At or above 150 percent of the poverty level"
"B08122_009E","Estimate!!Total:!!Car, truck, or van - carpooled:"
"B08122_009M","Margin of Error!!Total:!!Car, truck, or van - carpooled:"
"B08122_010E","Estimate!!Total:!!Car, truck, or van - carpooled:!!Below 100 percent of the poverty level"
"B08122_010M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!Below 100 percent of the poverty level"
"B08122_011E","Estimate!!Total:!!Car, truck, or van - carpooled:!!100 to 149 percent of the poverty level"
"B08122_011M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!100 to 149 percent of the poverty level"
"B08122_012E","Estimate!!Total:!!Car, truck, or van - carpooled:!!At or above 150 percent of the poverty level"
"B08122_012M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!At or above 150 percent of the poverty level"
"B08122_013E","Estimate!!Total:!!Public transportation (excluding taxicab):"
"B08122_013M","Margin of Error!!Total:!!Public transportation (excluding taxicab):"
"B08122_014E","Estimate!!Total:!!Public transportation (excluding taxicab):!!Below 100 percent of the poverty level"
"B08122_014M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Below 100 percent of the poverty level"
"B08122_015E","Estimate!!Total:!!Public transportation (excluding taxicab):!!100 to 149 percent of the poverty level"
"B08122_015M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!100 to 149 percent of the poverty level"
"B08122_016E","Estimate!!Total:!!Public transportation (excluding taxicab):!!At or above 150 percent of the poverty level"
"B08122_016M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!At or above 150 percent of the poverty level"
"B08122_017E","Estimate!!Total:!!Walked:"
"B08122_017M","Margin of Error!!Total:!!Walked:"
"B08122_018E","Estimate!!Total:!!Walked:!!Below 100 percent of the poverty level"
"B08122_018M","Margin of Error!!Total:!!Walked:!!Below 100 percent of the poverty level"
"B08122_019E","Estimate!!Total:!!Walked:!!100 to 149 percent of the poverty level"
"B08122_019M","Margin of Error!!Total:!!Walked:!!100 to 149 percent of the poverty level"
"B08122_020E","Estimate!!Total:!!Walked:!!At or above 150 percent of the poverty level"
"B08122_020M","Margin of Error!!Total:!!Walked:!!At or above 150 percent of the poverty level"
"B08122_021E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08122_021M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08122_022E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Below 100 percent of the poverty level"
"B08122_022M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!Below 100 percent of the poverty level"
"B08122_023E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!100 to 149 percent of the poverty level"
"B08122_023M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!100 to 149 percent of the poverty level"
"B08122_024E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!At or above 150 percent of the poverty level"
"B08122_024M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!At or above 150 percent of the poverty level"
"B08122_025E","Estimate!!Total:!!Worked from home"
"B08122_025M","Margin of Error!!Total:!!Worked from home"
"B08122_026E","Estimate!!Total:!!Worked from home!!Below 100 percent of the poverty level"
"B08122_026M","Margin of Error!!Total:!!Worked from home!!Below 100 percent of the poverty level"
"B08122_027E","Estimate!!Total:!!Worked from home!!100 to 149 percent of the poverty level"
"B08122_027M","Margin of Error!!Total:!!Worked from home!!100 to 149 percent of the poverty level"
"B08122_028E","Estimate!!Total:!!Worked from home!!At or above 150 percent of the poverty level"
"B08122_028M","Margin of Error!!Total:!!Worked from home!!At or above 150 percent of the poverty level"
