"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US39049000110","Census Tract 1.10; Franklin County; Ohio","3489",
"1400000US39049000120","Census Tract 1.20; Franklin County; Ohio","3220",
"1400000US39049000210","Census Tract 2.10; Franklin County; Ohio","3049",
"1400000US39049000220","Census Tract 2.20; Franklin County; Ohio","4186",
"1400000US39049000310","Census Tract 3.10; Franklin County; Ohio","3377",
"1400000US39049000320","Census Tract 3.20; Franklin County; Ohio","2505",
"1400000US39049000330","Census Tract 3.30; Franklin County; Ohio","2427",
"1400000US39049000410","Census Tract 4.10; Franklin County; Ohio","2439",
"1400000US39049000420","Census Tract 4.20; Franklin County; Ohio","3316",
"1400000US39049000500","Census Tract 5; Franklin County; Ohio","4187",
"1400000US39049000600","Census Tract 6; Franklin County; Ohio","3839",
"1400000US39049000710","Census Tract 7.10; Franklin County; Ohio","3339",
"1400000US39049000720","Census Tract 7.20; Franklin County; Ohio","2583",
"1400000US39049000730","Census Tract 7.30; Franklin County; Ohio","3629",
"1400000US39049000810","Census Tract 8.10; Franklin County; Ohio","2747",
"1400000US39049000820","Census Tract 8.20; Franklin County; Ohio","3193",
"1400000US39049000910","Census Tract 9.10; Franklin County; Ohio","3693",
"1400000US39049000920","Census Tract 9.20; Franklin County; Ohio","2209",
"1400000US39049001000","Census Tract 10; Franklin County; Ohio","5613",
"1400000US39049001110","Census Tract 11.10; Franklin County; Ohio","3751",
"1400000US39049001121","Census Tract 11.21; Franklin County; Ohio","12131",
"1400000US39049001122","Census Tract 11.22; Franklin County; Ohio","3268",
"1400000US39049001200","Census Tract 12; Franklin County; Ohio","5201",
"1400000US39049001301","Census Tract 13.01; Franklin County; Ohio","2903",
"1400000US39049001302","Census Tract 13.02; Franklin County; Ohio","3039",
"1400000US39049001400","Census Tract 14; Franklin County; Ohio","1531",
"1400000US39049001500","Census Tract 15; Franklin County; Ohio","2092",
"1400000US39049001600","Census Tract 16; Franklin County; Ohio","2399",
"1400000US39049001700","Census Tract 17; Franklin County; Ohio","3994",
"1400000US39049001810","Census Tract 18.10; Franklin County; Ohio","4324",
"1400000US39049001820","Census Tract 18.20; Franklin County; Ohio","2478",
"1400000US39049001901","Census Tract 19.01; Franklin County; Ohio","4059",
"1400000US39049001902","Census Tract 19.02; Franklin County; Ohio","4063",
"1400000US39049002000","Census Tract 20; Franklin County; Ohio","3259",
"1400000US39049002100","Census Tract 21; Franklin County; Ohio","2456",
"1400000US39049002200","Census Tract 22; Franklin County; Ohio","4279",
"1400000US39049002300","Census Tract 23; Franklin County; Ohio","1503",
"1400000US39049002510","Census Tract 25.10; Franklin County; Ohio","3144",
"1400000US39049002520","Census Tract 25.20; Franklin County; Ohio","2784",
"1400000US39049002600","Census Tract 26; Franklin County; Ohio","3920",
"1400000US39049002710","Census Tract 27.10; Franklin County; Ohio","1908",
"1400000US39049002730","Census Tract 27.30; Franklin County; Ohio","2183",
"1400000US39049002740","Census Tract 27.40; Franklin County; Ohio","2447",
"1400000US39049002750","Census Tract 27.50; Franklin County; Ohio","2554",
"1400000US39049002760","Census Tract 27.60; Franklin County; Ohio","3331",
"1400000US39049002770","Census Tract 27.70; Franklin County; Ohio","2300",
"1400000US39049002780","Census Tract 27.80; Franklin County; Ohio","2353",
"1400000US39049002800","Census Tract 28; Franklin County; Ohio","2461",
"1400000US39049002900","Census Tract 29; Franklin County; Ohio","2887",
"1400000US39049003000","Census Tract 30; Franklin County; Ohio","4189",
"1400000US39049003200","Census Tract 32; Franklin County; Ohio","3500",
"1400000US39049003600","Census Tract 36; Franklin County; Ohio","2039",
"1400000US39049003700","Census Tract 37; Franklin County; Ohio","3389",
"1400000US39049003800","Census Tract 38; Franklin County; Ohio","2105",
"1400000US39049004001","Census Tract 40.01; Franklin County; Ohio","1253",
"1400000US39049004002","Census Tract 40.02; Franklin County; Ohio","4245",
"1400000US39049004200","Census Tract 42; Franklin County; Ohio","1107",
"1400000US39049004301","Census Tract 43.01; Franklin County; Ohio","3532",
"1400000US39049004302","Census Tract 43.02; Franklin County; Ohio","1740",
"1400000US39049004500","Census Tract 45; Franklin County; Ohio","5048",
"1400000US39049004610","Census Tract 46.10; Franklin County; Ohio","3298",
"1400000US39049004620","Census Tract 46.20; Franklin County; Ohio","2609",
"1400000US39049004700","Census Tract 47; Franklin County; Ohio","5138",
"1400000US39049004810","Census Tract 48.10; Franklin County; Ohio","2929",
"1400000US39049004820","Census Tract 48.20; Franklin County; Ohio","2685",
